epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,48266,1.75433,2.22557,0.85533,0.95591,0.39797,0.03015,0.1197,0.06782,0.38255,0.02928,0.11399,0.05795,1.70723,2.06235,0.94185,0.93862,0.0013961,0.0013961,0.0013961
63,49049.7,1.78514,2.22767,0.84728,0.95645,0.57416,0.03032,0.12497,0.06849,0.56076,0.0298,0.12402,0.06888,1.67144,1.93244,0.87405,0.93661,0.0013862,0.0013862,0.0013862
64,49786.3,1.77554,2.2071,0.83845,0.95033,0.55359,0.02894,0.12007,0.06901,0.42705,0.02911,0.11742,0.06425,1.65084,1.94733,0.90818,0.93123,0.0013763,0.0013763,0.0013763
65,50497.1,1.73928,2.2111,0.8276,0.95081,0.52345,0.02876,0.12218,0.06781,0.5266,0.02894,0.12168,0.06667,1.66313,1.94411,0.8848,0.93603,0.0013664,0.0013664,0.0013664
66,51391,1.73455,2.17592,0.81872,0.94888,0.54511,0.02911,0.12283,0.07294,0.19568,0.0298,0.11534,0.0573,1.75133,1.99135,0.89075,0.94131,0.0013565,0.0013565,0.0013565
67,52202.6,1.74177,2.20102,0.82518,0.95349,0.54935,0.0298,0.12405,0.07276,0.53292,0.02894,0.11923,0.0638,1.6876,1.93047,0.83427,0.9323,0.0013466,0.0013466,0.0013466
68,52979.3,1.7261,2.18006,0.81805,0.94687,0.5339,0.03032,0.1266,0.07155,0.53709,0.03015,0.12344,0.06466,1.67352,1.95555,0.86315,0.93188,0.0013367,0.0013367,0.0013367
69,53760.1,1.71141,2.14497,0.80448,0.95141,0.4335,0.03084,0.12379,0.07233,0.43959,0.02963,0.11794,0.0595,1.74166,1.95381,0.86137,0.94223,0.0013268,0.0013268,0.0013268
70,54532.8,1.74249,2.18704,0.81998,0.95701,0.52364,0.03864,0.13027,0.07704,0.51874,0.03743,0.12391,0.06204,1.67379,1.93408,0.8198,0.93217,0.0013169,0.0013169,0.0013169
71,55402.1,1.7516,2.1641,0.828,0.96427,0.48426,0.0298,0.12192,0.06913,0.44803,0.02842,0.11571,0.06068,1.66979,1.93095,0.84479,0.9332,0.001307,0.001307,0.001307
72,56308.2,1.74394,2.1873,0.84129,0.95821,0.45805,0.03881,0.12482,0.07385,0.41298,0.03708,0.12023,0.05864,1.81983,1.99266,0.87926,0.95159,0.0012971,0.0012971,0.0012971
73,57174.8,1.74167,2.19979,0.82533,0.95671,0.42859,0.02807,0.11136,0.06168,0.42994,0.02634,0.10634,0.05165,1.83953,2.24902,0.94772,0.95634,0.0012872,0.0012872,0.0012872
74,57965.8,1.75539,2.20942,0.8161,0.94096,0.55556,0.0298,0.12368,0.06942,0.55695,0.02946,0.1215,0.06272,1.68455,1.91529,0.83073,0.93124,0.0012773,0.0012773,0.0012773
75,58848.2,1.71995,2.16211,0.81844,0.9509,0.53184,0.03032,0.12669,0.06877,0.53401,0.03015,0.12554,0.06727,1.64488,1.9163,0.83614,0.92627,0.0012674,0.0012674,0.0012674
76,59657.7,1.73526,2.19275,0.84428,0.95963,0.50371,0.03032,0.12526,0.07495,0.46574,0.02946,0.11774,0.06048,1.68258,1.93926,0.84829,0.93107,0.0012575,0.0012575,0.0012575
77,60455.1,1.71682,2.17046,0.82143,0.94764,0.51239,0.03881,0.12821,0.0755,0.50326,0.03795,0.12228,0.06072,1.69416,1.96237,0.84543,0.93292,0.0012476,0.0012476,0.0012476
78,61372.2,1.69752,2.13562,0.80195,0.9454,0.62185,0.05198,0.15087,0.08483,0.59905,0.05008,0.14352,0.07383,1.74516,1.97912,0.84455,0.94037,0.0012377,0.0012377,0.0012377
