epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2965.46,1.85884,2.32499,0.88854,0.96802,0.60273,0.60544,0.53511,0.23327,0.57526,0.57508,0.49653,0.18611,2.14498,2.38927,1.28539,1.0348,0.001505,0.001505,0.001505
52,3021.38,1.76006,2.27412,0.86126,0.97058,0.76847,0.67593,0.71029,0.30215,0.7247,0.61798,0.63916,0.2185,2.13322,2.26929,1.14179,1.02731,0.0014951,0.0014951,0.0014951
53,3077.03,1.75548,2.25553,0.84158,0.95072,0.56202,0.59012,0.51476,0.22823,0.52739,0.5355,0.45689,0.15219,2.30965,2.42432,1.34822,1.06401,0.0014852,0.0014852,0.0014852
54,3135.68,1.71864,2.20656,0.82418,0.94521,0.60266,0.6641,0.59033,0.28609,0.59432,0.63586,0.56328,0.22588,2.0261,2.26018,1.2559,1.00525,0.0014753,0.0014753,0.0014753
55,3192,1.71635,2.21926,0.81813,0.94801,0.79881,0.71613,0.74725,0.35327,0.78513,0.69471,0.72322,0.30466,1.82622,2.06213,1.06184,0.97923,0.0014654,0.0014654,0.0014654
56,3260.11,1.71801,2.20717,0.81087,0.95137,0.63815,0.67382,0.62751,0.25369,0.58189,0.6027,0.53361,0.16212,2.1342,2.32163,1.39831,1.0229,0.0014555,0.0014555,0.0014555
57,3318.56,1.74339,2.22536,0.82183,0.94165,0.51079,0.603,0.44127,0.15667,0.4606,0.5263,0.3592,0.09901,2.38429,2.56391,1.86373,1.07285,0.0014456,0.0014456,0.0014456
58,3374.03,1.75861,2.2687,0.84194,0.96827,0.74279,0.68058,0.70448,0.32747,0.7168,0.65031,0.6572,0.24151,1.93181,2.20858,1.34443,0.99265,0.0014357,0.0014357,0.0014357
59,3434.26,1.73706,2.25387,0.83635,0.95227,0.61373,0.60623,0.56458,0.26567,0.58956,0.56568,0.51961,0.18914,1.99871,2.33341,1.6713,1.0064,0.0014258,0.0014258,0.0014258
60,3490.65,1.77506,2.28846,0.83397,0.95904,0.81404,0.68306,0.72441,0.32232,0.79787,0.6556,0.6856,0.25345,1.94126,2.24845,1.11914,0.99783,0.0014159,0.0014159,0.0014159
61,3548.13,1.77803,2.28352,0.84563,0.95047,0.61084,0.66941,0.61727,0.27024,0.57052,0.61034,0.54739,0.18433,2.0446,2.26726,1.40916,1.01262,0.001406,0.001406,0.001406
62,3606.28,1.73216,2.23325,0.83318,0.94559,0.67684,0.64237,0.63356,0.24562,0.62317,0.57214,0.54412,0.16317,2.25097,2.42018,1.30569,1.05022,0.0013961,0.0013961,0.0013961
63,3662.92,1.71762,2.20029,0.80755,0.9471,0.79675,0.69615,0.74487,0.33943,0.78121,0.66882,0.71057,0.27783,1.86328,2.13897,1.11057,0.9772,0.0013862,0.0013862,0.0013862
