epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2347.71,1.74207,2.24278,0.81993,0.95398,0.69154,0.66277,0.6408,0.22576,0.60836,0.56969,0.49814,0.13683,2.36575,2.57704,1.32428,1.08839,0.001208,0.001208,0.001208
42,2405.27,1.76086,2.31283,0.82864,0.95357,0.5318,0.59536,0.50279,0.23116,0.50081,0.55277,0.45476,0.15577,2.18344,2.33944,1.40531,1.04447,0.0011882,0.0011882,0.0011882
43,2461.88,1.73869,2.25412,0.81551,0.95275,0.66172,0.64649,0.61395,0.24437,0.61069,0.58419,0.53789,0.1754,2.13799,2.39941,1.23047,1.03291,0.0011684,0.0011684,0.0011684
44,2519.73,1.70972,2.22092,0.80714,0.93925,0.5868,0.68116,0.57792,0.2709,0.57114,0.64296,0.53976,0.19797,1.99133,2.23252,1.54552,0.99978,0.0011486,0.0011486,0.0011486
45,2577.9,1.72751,2.23204,0.81101,0.9522,0.79115,0.70019,0.74127,0.35071,0.77687,0.67852,0.71402,0.29528,1.8059,2.13416,1.04822,0.97591,0.0011288,0.0011288,0.0011288
46,2638.86,1.71497,2.22475,0.80729,0.95001,0.75244,0.7038,0.71388,0.31243,0.71257,0.65442,0.65012,0.2202,1.97714,2.28631,1.10548,0.99988,0.001109,0.001109,0.001109
47,2695.03,1.76776,2.28338,0.83226,0.95818,0.677,0.65824,0.646,0.30027,0.65299,0.63356,0.60967,0.23297,2.00809,2.31434,1.30333,1.0053,0.0010892,0.0010892,0.0010892
48,2752.33,1.71857,2.21428,0.80675,0.95024,0.73806,0.67264,0.68863,0.31756,0.71472,0.63757,0.6469,0.24043,1.98344,2.28336,1.13243,0.99845,0.0010694,0.0010694,0.0010694
49,2809.19,1.71449,2.2175,0.80596,0.95227,0.71144,0.72666,0.72304,0.34961,0.69664,0.70585,0.69551,0.28437,1.86429,2.10725,1.07124,0.9801,0.0010496,0.0010496,0.0010496
50,2867.21,1.77011,2.23368,0.82072,0.9556,0.72448,0.67226,0.68114,0.27431,0.68919,0.59888,0.59921,0.18868,2.06687,2.353,1.19269,1.0217,0.0010298,0.0010298,0.0010298
51,2921.97,1.80002,2.27452,0.84445,0.96002,0.75858,0.71006,0.71998,0.28596,0.70855,0.65883,0.6498,0.22171,2.01034,2.26725,1.14443,1.0057,0.00101,0.00101,0.00101
