epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2303.93,1.83424,2.19658,0.91982,0.94204,0.80302,0.79362,0.81208,0.35132,0.75757,0.74349,0.75036,0.2727,1.85395,1.98457,0.93912,0.95708,0.0015644,0.0015644,0.0015644
46,2351.41,1.79845,2.12755,0.86818,0.93661,0.85891,0.88199,0.90507,0.41702,0.82393,0.83025,0.85137,0.32191,1.75603,1.89928,0.86853,0.93346,0.0015545,0.0015545,0.0015545
47,2401.81,1.81018,2.14682,0.88196,0.9405,0.79732,0.80119,0.82157,0.36462,0.7597,0.73404,0.74767,0.2537,1.84456,2.00392,0.94578,0.9506,0.0015446,0.0015446,0.0015446
48,2451.24,1.81876,2.19991,0.90399,0.94777,0.86129,0.86918,0.89274,0.40727,0.82987,0.81727,0.83931,0.29028,1.7804,1.88688,0.88767,0.93622,0.0015347,0.0015347,0.0015347
49,2501.74,1.80213,2.14379,0.8886,0.94066,0.81454,0.82852,0.8374,0.37401,0.79874,0.80212,0.80345,0.30202,1.85699,2.00251,0.9007,0.95261,0.0015248,0.0015248,0.0015248
50,2550.63,1.82819,2.1557,0.89158,0.93699,0.84565,0.81813,0.85661,0.43171,0.83348,0.80637,0.84405,0.32737,1.70908,1.91393,0.87635,0.925,0.0015149,0.0015149,0.0015149
51,2605.96,1.75364,2.1232,0.87145,0.92715,0.74748,0.71604,0.72851,0.30776,0.67369,0.662,0.63899,0.22601,1.88114,2.14344,1.02144,0.96151,0.001505,0.001505,0.001505
52,2656.23,1.76305,2.09703,0.87387,0.94373,0.79494,0.78128,0.82387,0.38697,0.76102,0.74182,0.76338,0.26785,1.84392,2.01427,0.90505,0.95234,0.0014951,0.0014951,0.0014951
53,2706.45,1.80549,2.18278,0.88603,0.93959,0.82483,0.77078,0.82343,0.34174,0.76664,0.71004,0.72434,0.23069,2.0183,2.20326,0.98512,0.9765,0.0014852,0.0014852,0.0014852
54,2761.41,1.77999,2.1896,0.87652,0.93646,0.84966,0.89289,0.90403,0.41449,0.81801,0.85248,0.84686,0.29928,1.78767,1.93521,0.89798,0.93732,0.0014753,0.0014753,0.0014753
55,2812.4,1.76213,2.1189,0.86733,0.92854,0.82326,0.79062,0.8366,0.39385,0.78361,0.74736,0.78177,0.28668,1.81881,2.05684,0.89229,0.94543,0.0014654,0.0014654,0.0014654
56,2860.91,1.76617,2.12575,0.86719,0.93749,0.82458,0.84651,0.85126,0.4028,0.79526,0.81462,0.8116,0.30296,1.73638,1.93977,0.8537,0.9309,0.0014555,0.0014555,0.0014555
57,2911.93,1.73897,2.09452,0.84548,0.92274,0.83326,0.80074,0.83756,0.36999,0.77291,0.74667,0.76907,0.26283,1.85498,2.00254,0.9086,0.94729,0.0014456,0.0014456,0.0014456
58,2960.73,1.70854,2.03271,0.83778,0.93411,0.78128,0.75065,0.78285,0.36194,0.8144,0.79356,0.82928,0.31546,1.84737,2.04621,0.9083,0.95618,0.0014357,0.0014357,0.0014357
59,3010.85,1.75142,2.10139,0.85124,0.93182,0.84348,0.86209,0.88418,0.43763,0.83383,0.84824,0.87162,0.34441,1.69381,1.86411,0.8148,0.92096,0.0014258,0.0014258,0.0014258
60,3067.74,1.78661,2.08909,0.84955,0.93976,0.85846,0.86064,0.89546,0.43143,0.83002,0.82808,0.85507,0.33249,1.71389,1.8538,0.83466,0.92442,0.0014159,0.0014159,0.0014159
61,3116.03,1.76134,2.13026,0.85861,0.92733,0.85119,0.89379,0.89379,0.45942,0.82817,0.86817,0.86037,0.33252,1.68702,1.83882,0.82517,0.91773,0.001406,0.001406,0.001406
